Book Id,ImageFile,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58739818,,Até o Verão Terminar,Colleen Hoover,"Hoover, Colleen",Mariana Serpa,6559810372,9786559810376,3,4.23,Galera Record,Paperback,336,2021,2020,2022/08/26,2022/08/22,2022,2022 (#29),read,"Ah querida Collen, já estava preparada para esse plot twist, vc não me engana mais com esse ritmo lento, para que nos momentos mais envolventes você prepara uma facada no leitor. <br/>É um livro 'ok' absolutamente nada demais, porém muito bem escrito, com uma narrativa fluída que envolve o leitor a continuar a leitura, mas com o coração na mão, sempre esperando o pior para os protagonistas, pq foi assim que Collen nos ensinou a ser, sempre desconfiados.",,,1,0
18243521,,"Os Garotos Corvos (A Saga dos Corvos, #1)",Maggie Stiefvater,"Stiefvater, Maggie",Jorge Ritter,8576862549,9788576862543,5,04.05,Verus,Paperback,376,2013,2012,2022/06/18,2022/06/15,"2022, fantasia","2022 (#19), fantasia (#1)",read,"Gostei de relembrar sobre os garotos corvos, o que eu acho interessante é que os garotos não são os clichê bad boy que somos acostumados.",,,1,0
51470198,,Verity,Colleen Hoover,"Hoover, Colleen",Thais Britto,8501117846,9788501117847,3,4.31,Galera Record,Paperback,320,2020,2018,2022/07/24,2022/07/19,"2022, mistério","2022 (#24), mistério (#3)",read,"Pois é, Collen Hoover, aí aí, não sou fã de seus livros, mas esse por ter uma pegada diferente, com o suspense como o ponto focal, eu quis dar uma chance, foi interessante, o final é bem enigmático brinca com a mente do leitor, mas diferente de se a Capitu traiu ou não, eu já tenho minha escolha, acredito que ela seja inocente, não acredito que ela como culpada teria escrito sobre seus crimes e ter cultivado um carinho pelo filho.",TRUE,,1,0
42442340,,A Vegetariana,Han Kang,"Kang, Han",Jae Hyung Woo,8588808285,9788588808287,1,3.58,Todavia,Paperback,176,2018,2007,2022/08/05,2022/06/14,2022,2022 (#18),read,"Que decepção. Não gostei. Não entendi. Acho que esse livro não é para mim, toda essa aproximidade da vida real é do que eu estou fugindo. Não fui atrás de filosofar sobre o que essa autora quis dizer. Não tiver prazer nenhum em conhecer essa família caótica. Acho que se eu conhecesse o ponto de vista da protagonista, eu iria me interessar pela obra.",,,1,0
60423827,,"A Ponte entre Reinos (A Ponte entre Reinos, #1)",Danielle L. Jensen,"Jensen, Danielle L.",Guilherme Miranda,8555341981,9788555341984,2,04.04,Seguinte,Paperback,416,2022,2018,2022/07/31,2022/07/28,"2022, fantasia, romance","2022 (#25), fantasia (#4), romance (#7)",read,"Como já dizia Henrique & Juliano ""E o nosso pra sempre. Infelizmente não vingou"". Não vingou mesmo, no início fiquei empolgada por ser um enredo parecido com meu queridinho ""De Sangue e Cinzas"", mas com o passar das páginas senti um desprazer em ler, pois o que ela fez é imperdoável, e o sofrimento que ela causou não é só entre eles envolve todo um reino. E para um Rei, Aren é muito ingênuo, como pode perdoar Lara tão rápido e à transformar em seu braço direito se ontem mesmo descobriu que ela era uma espiã? E falando sobre o romance, o tão proclamado amor por Lara e Aren não me convenceu, falta química, falta conversa, falta intimidade.",,,1,0
59054993,,"De Sangue e Cinzas (Sangue e Cinzas, #1)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",Flavia de Lavor,655981002X,9786559810024,5,4.23,Galera,Paperback,588,2021,2020,2022/07/02,2022/06/24,"2022, fantasia","2022 (#22), fantasia (#2)",read,"Esse livro foi um achado da prime day, esperava que fosse legal só mais um clichê, nunca estive tão enganada, estou maravilhada com esse universo, com essa personagem feminina tão forte e corajosa. Não esperava que tivesse um romance explícito, mas foi tão bem escrito que não se tornou indecente. Ansiosa por continuar essa jornada.",,,1,0
59837686,,"Um Reino de Carne e Fogo (Sangue e Cinzas, #2)",Jennifer L. Armentrout,"Armentrout, Jennifer L.",Flavia de Lavor,6559810178,9786559810178,5,4.34,Galera,Paperback,672,2022,2020,2022/07/23,2022/07/04,"2022, fantasia, romance","2022 (#23), fantasia (#3), romance (#6)",read,"Finalizei sem fôlego essa jornada, estou ansiosa pela continuação, estou extasiada com Poppy, pela sua bravura, determinação e a sinceridade em seus atos e sentimentos.",,,1,0
60571486,,Cidade nas Nuvens,Anthony Doerr,"Doerr, Anthony",Marcello Lino,,,0,4.26,Intrínseca,Paperback,752,2022,2021,,2022/06/23,to-read,to-read (#8),to-read,,,,0,0
60186953,,"Através da minha janela (Os irmãos Hidalgo, #1)",Ariana Godoy,"Godoy, Ariana","Karoline Melo, Lorrane Fortunato",655560512X,9786555605129,5,3.39,Intrínseca,Kindle Edition,505,2022,2019,2022/06/19,2022/06/18,"2022, romance","2022 (#20), romance (#4)",read,"Amei conhecer a Raquel, que é sincera com seus sentimentos, que se joga nos seus desejos, que sabe que mesmo que doa não se pode prender ninguém por egoísmo.<br/>Eu julguei no início esse perseguição pelo deus grego, mas quando ela abriu a boca e surpreendeu a mim e Ares, comecei a gostar de Raquel, e a sentir e compreender seus sentimentos, e me orgulhar de suas atitudes sinceras com ela mesma, mesmo que as pessoas julguem vc precisa pensar em vc mesma, no que vc sente, se vale a pena continuar ou mudar ou perdoar, só vc sabe disso.<br/>Por mais que queira parecer com Raquel me identifiquei com Ares que quando gosta de alguém escolhe se afastar e deixar por isso mesmo.<br/>Ps . . Não acredito que o final desse livro mexeu comigo, estou passada Kkkkkkk",,,1,0
57440536,,Tudo é rio,Carla Madeira,"Madeira, Carla",,6555871784,9786555871784,4,4.25,Record,Paperback,210,2021,2014,2022/06/12,2022/06/04,"nova-literatura-brasileira, 2022","nova-literatura-brasileira (#1), 2022 (#17)",read,"Quando iniciei a leitura não tinha ideia que a historia era tão crua, tão bruta. Gostei do estilo de escrita da autora, algo não linear e com capítulos curtos, mesmo com pequenos vislumbres da vida dos personagens já entendemos seus sentimentos. O final é tão delicado, pq eu não acredito na redenção de Venâncio, eu não concordo com a decisão de Dalva, nunca que eu confiaria nesse monstro, no último capítulo eu prendi o folego aguardando o pior acontecer pq foi assim que a autora foi nos levando durante a narrativa, mas quando chega na última folha tem um final de filme da Disney nos aguardando. Mas é aí que você para e pensa que essa é realidade de muitos relacionamentos em que a mulher volta para o agressor, por simplesmente receber alguns gestos encantadores que amansa que seu coração, mas eu não acredito na redenção de monstros, seu demônio interior sempre vai aparecer novamente.",TRUE,,1,0
